标题: 人工智能是什么?人工智能将带来什么改变?
链接: http://www.baidu.com/link?url=yYZh_730b30i1NZALS-rQwJWfMdGcMg3XgeuULi4e23L_lwVP6dhU4dxWjxxKkL_vW14-l9vTL_OnBTUicehzrvnCEeTE0aHvGlNnQxrOkq
总结: 什么是人工智能？人工智能简称AI，它是计算机科学的一个分支，这项技术的最终目的是为了模拟、延伸和扩展人的智能，使机器能够胜任一些通常需要人类智能才能完成的复杂工作，从而帮助人类更好、更快地发展，让人类过上更加美好幸福的生活。一些人将人工智能与机器人画等号，这很片面。研究人工智能是为了了解智能的实质，并据此创造出能以人类智能相似的方式作出反应的智能机器，并不单单只是制造出一种像人那样的机器人，像语音识别、图像识别、自然语言处理、自动驾驶等，它们都是人工智能的研究和应用领域。总之，需要人类的智慧来参与和处理的事情，都可以用到人工智能。像手机现在就已经应用了很多人工智能的研究成果，比如语音输入法，人工智能技术的应用也使得智能手机变得更加智能。人类长久以来的梦想，就是希望能够让机械代替人力来干活，进行生产劳作，这不仅是体力方面，在脑力劳动方面也有这个需求。人工智能的概念提出于1956年，在此之前，人类已经能够利用机械实现半自动，现在人类在一些工业生产领域还实现了自动化，但这远远不够，过去的自动化只是在已经预设好的程序下循环往复地运行，像新闻撰写、自动驾驶等领域就实现不了自动化。但在人工智能技术的帮助下，人类却可以完全实现自动化，因为机器或者软件在自动化运行的过程中还能自主学习，并根据反馈的数据实时作出决策，改进执行过程。人工智能会超越甚至取代人类，让很多人失业吗？这种担心，不无道理。毕竟不是每个人都是那么优秀，大部分人的能力都很一般，既没有雄厚的资产，也没有掌握什么高技术。这些底层工作，特别是那些没技术的体力劳动，以及一些简单的脑力劳动，在未来势必都会被人工智能所取代的。即使我们这几代人看不到，在几百年后也必然会出现这种情况。现在人工智能在某些方面的能力已经超越了人类，比如围棋。再发展一些年头，人工智能的智慧水平必然会在很多领域超越人类。更关键的是，这些拥有智慧的机器不仅不怕脏和累，在工作过程中出错的概率也更小。如果你是老板，你也想拥有这样的“员工”。可见，人工智能未来让很多人失业，并不是一句空谈。技术革新确实会让一部分人失业，但同时也会创造新的职业。不过，人工智能带来的冲击，比一般的产业技术革新更震撼，触及到的行业非常多。有人说，我可以给机器抹机油，但这项工作也可以由机器代劳。大规模应用人工智能后，以往劳动密集型的产业就再也不需要那么多工人了，而创造出来的新职业，则是管理这些设备的高技术人才。显然，这并不需要太多人。那剩余的人怎么办呢？其实，这个问题完全可以从税收和分配机制上进行解决。为了避免养懒人，以往一个人干的活，完全可以分给5个人干。而蛋糕做大了也并没有坏处，即使占比很小，你所分配的份额也比以前多。这个世界上并没有永恒不变的行业和职业，厨师和理发师未来也有可能被智能机器替代。为了应对这种冲击，所有人都必须要不断地改变自己，努力学习，只有这样，社会才会进步。除了失业方面的考虑，更为关键的是人工智能会取代人类，主宰未来社会吗？这样的主题，已经出现在了一些科幻电影中。我们赋予了机器智慧，到头来却不听使唤，甚至还反叛人类，这肯定不是我们所愿意看到的。有些人可能不相信机器能够拥有自我意识，不过根据科学家对人脑以及思维意识的产生和运作机制的了解，机器确实可以拥有意识，但前提是硬件基础要达到一定水平才能实现。至于高级人工智能拥有自我意识后，还会听人类的使唤吗？人类该怎么办？真的很难给出答案。或许我们可以通过某种机制避免这样的事情发生，或者禁止创造拥有自我意识的智能机器。人工智能的最终目的就是为了让人们的生活更美好，代替很多人的体力劳动，让大家有更多的时间去学习、去思考、去探索未来和未知！只有当我们不为生活发愁时，我们才会发展的更好。纵观科学技术的发展史，做出重大贡献的基本上都是位于社会金字塔中上部的那些人。人工智能将会让我们的生活变成什么样？虽然人工智能已经发展了好几十年，但在初期发展的十分缓慢，现阶段我们还处于人工智能发展的初级阶段。不过，人工智能技术现阶段已经开始重塑多个行业的面貌。可以断定，我们现在就已经处于人工智能爆发的元年了，现在每一个人都能享受这项技术带来的巨大改变。人工智能的应用领域有很多。结合城市交通出行大数据，利用人工智能进行自动决策，将为我们带来更加智慧的路，从而降低交通事故的发生概率，缓解拥堵。在科学研究领域，人工智能也有大显身手之处，因为科学研究往往需要进行大量的实验，产生大量的实验数据，如果利用人力进行分析，往往费时费力，这一过程完全可以交给机器。物联网和人工智能结合，智能生活也将走进千家万户。移动互联网的出现，仅仅用了10多年时间，就让我们的生活方式发生了巨大的改变。人工智能肯定会让我们的生活更上一层楼，未来可期。人工智能技术不仅可以改变一部手机、一辆车、一个家庭，还将改变整个社会的产业，促进经济飞速发展。在科学技术这个股力量的推动下，几百年前，人类总共进行了三次大的工业或者说科技革命，而人工智能则将带领我们步入第四次科技革命，从信息时代步入智能时代。而以人工智能为核心驱动力的智能经济也正在成为经济发展的新引擎。人工智能和基因技术、空间技术、纳米技术等都是21世纪最为尖端的技术。正是因为人工智能技术对未来十分重要，所以各大科技公司都希望能够分一杯羹，这一行业也将成为竞争最为激烈的一个行业之一。转自科普中国
关键词: 人工智能,  自动化,  科技革命
AI技术: 语音识别, 图像识别, 自然语言处理
行业: 人工智能技术已经开始重塑多个行业的面貌。结合城市交通出行大数据，利用人工智能进行自动决策，将为我们带来更加智慧的路，从而降低交通事故的发生概率，缓解拥堵。在科学研究领域，人工智能也有大显身手之处，因为科学研究往往需要进行大量的实验，产生大量的实验数据，如果利用人力进行分析，往往费时费力，这一过程完全可以交给机器。物联网和人工智能结合，智能生活也将走进千家万户。
重大事件摘要: 这篇文章主要介绍了人工智能（AI）的概念、应用领域、对社会的影响以及未来的发展趋势。以下是文章的主要内容总结：

1. **人工智能的定义**：
   - 人工智能是计算机科学的一个分支，旨在模拟、延伸和扩展人的智能，使机器能够完成通常需要人类智能的复杂工作。
   - 它不仅局限于制造机器人，还包括语音识别、图像识别、自然语言处理和自动驾驶等领域。
